Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[b]",Total infections,New cases,Total deaths,New deaths
1 Apr,13410 (197),16497 (225),2754 (16),881 (4),311 (5),2311 (14),3445 (21),4382 (42),406 (3),14351 (134),2899 (23),829 (8),2034 (17),750 (7),1246 (10),860 (6),,67366,5453,732,149
2 Apr,14662 (241),18496 (268),2970 (19),995 (7),327 (6),2406 (14),3707 (27),4695 (45),438 (3),15427 (161),3132 (26),1020 (11),2183 (18),804 (8),1335 (11),925 (7),,73522,6156,872,140
3 Apr,16059 (285),20237 (307),3202 (20),1075 (9),341 (6),2596 (16),3993 (33),5081 (65),468 (4),16606 (178),3362 (26),1079 (12),2336 (21),836 (11),1443 (15),982 (9),,79696,6174,1017,145
4 Apr,17014 (316),21908 (349),3471 (22),1211 (12),354 (6),2697 (16),4279 (42),5571 (85),501 (5),17885 (200),3504 (29),1265 (14),2591 (24),896 (11),1559 (17),1072 (10),,85778,6082,1158,141
5 Apr,18614 (367),23846 (396),3613 (24),1305 (17),394 (6),2945 (19),4575 (56),5712 (89),523 (5),18735 (245),3663 (32),1358 (14),2741 (32),919 (12),1631 (18),1140 (10),,91714,5936,1342,184
6 Apr,19395 (387),24974 (437),3670 (26),1345 (19),397 (8),2993 (19),4674 (61),5960 (92),528 (6),19384 (255),3882 (32),1483 (14),2903 (34),956 (12),1671 (20),1176 (12),,95391,3677,1434,92
7 Apr,20141 (433),26163 (481),3845 (28),1384 (20),399 (9),3059 (20),4837 (73),6200 (111),531 (8),20220 (282),3992 (34),1532 (16),2997 (38),987 (12),1730 (24),1208 (18),,99225,3834,1607,173
8 Apr,20680 (464),27564 (564),4028 (32),1472 (22),424 (10),3165 (23),4965 (84),6385 (121),555 (11),20929 (348),4148 (45),1637 (23),3144 (50),1020 (16),1827 (28),1285 (20),,103228,4003,1861,254
9 Apr,21603 (519),28827 (635),4202 (37),1578 (30),445 (11),3320 (44),5242 (100),6804 (141),572 (11),21961 (384),4336 (50),1693 (23),3261 (52),1075 (16),1932 (34),1351 (20),,108202,4974,2107,246
10 Apr,22433 (570),30363 (703),4349 (42),1691 (37),454 (13),3551 (53),5694 (111),7114 (161),586 (11),23028 (446),4440 (51),1854 (36),3402 (59),1121 (18),2029 (38),1416 (24),,113525,5323,2373,266
11 Apr,23617 (622),31453 (747),4458 (46),1764 (37),469 (15),3663 (56),5808 (120),7343 (171),601 (11),23644 (472),4622 (59),2016 (41),3565 (65),1135 (18),2065 (39),1435 (25),,117658,4133,2544,171
12 Apr,24078 (649),32282 (786),4567 (50),1857 (38),480 (15),3742 (56),5859 (123),7602 (189),605 (11),24267 (495),4734 (64),2058 (43),3600 (67),1166 (21),2118 (41),1464 (25),,120479,2821,2673,129
13 Apr,24570 (677),33015 (820),4601 (51),1880 (38),486 (17),3770 (56),6114 (135),7723 (201),618 (11),24883 (518),4810 (68),2079 (44),3655 (68),1193 (24),2134 (44),1485 (27),,123016,2537,2799,126
14 Apr,25040 (711),33569 (872),4668 (56),1916 (40),492 (20),3808 (59),6183 (147),7885 (211),619 (11),25300 (545),4880 (70),2112 (52),3751 (70),1207 (25),2164 (49),1504 (31),,125098,2082,2969,170
15 Apr,25438 (767),34294 (954),4722 (62),1950 (42),500 (21),3869 (67),6347 (173),8019 (224),624 (11),25835 (607),5004 (77),2145 (58),3819 (73),1223 (26),2245 (54),1550 (38),,127584,2486,3254,285
16 Apr,25881 (802),35142 (1049),4848 (74),2058 (54),507 (21),3953 (80),6470 (187),8188 (248),634 (13),26383 (663),5087 (87),2201 (71),3955 (94),1248 (26),2294 (55),1601 (45),,130450,2866,3569,315
17 Apr,26543 (872),36027 (1137),4945 (84),2120 (60),556 (22),4005 (84),6705 (197),8442 (274),634 (13),27030 (726),5211 (92),2254 (76),4048 (95),1279 (28),2349 (59),1682 (49),,133830,3380,3868,299
18 Apr,27258 (919),36881 (1198),5066 (91),2161 (62),567 (24),4118 (90),6916 (212),8649 (281),645 (14),28006 (791),5324 (99),2289 (86),4140 (103),1315 (29),2387 (61),1717 (50),,137439,3609,4110,242
19 Apr,27883 (968),37407 (1256),5159 (92),2221 (66),585 (25),4167 (91),7108 (230),8797 (288),651 (15),28471 (814),5432 (106),2303 (91),4190 (107),1350 (30),2417 (62),1756 (53),,139897,2458,4294,184
20 Apr,28253 (982),37849 (1286),5196 (94),2238 (66),604 (25),4185 (91),7177 (240),8900 (291),653 (15),28971 (857),5523 (107),2314 (91),4229 (109),1369 (30),2426 (67),1785 (53),,141672,1775,4404,110
21 Apr,28712 (1031),38310 (1336),5237 (97),2275 (67),609 (25),4204 (91),7231 (251),9098 (306),655 (15),29389 (896),5561 (116),2328 (93),4253 (117),1383 (32),2414 (70),1798 (55),,143457,1785,4598,194
22 Apr,28898 (1063),38814 (1424),5312 (105),2389 (74),624 (26),4204 (91) [i],7380 (265),9236 (328),656 (15),30185 (964),5593 (122),2367 (97),4273 (122),1395 (33),2496 (79),1872 (71),,145694 [i],2237 [i],4879 [i],281 [i]
23 Apr,29443 (1113),39395 (1476),5324 (105),2447 (84),672 (27),4286 (113) [i],7593 (286),9391 (340),659 (15),30584 (999),5643 (131),2395 (99),4327 (127),1425 (34),2530 (84),1932 (61),,148046,2352,5094,215
24 Apr,29792 (1153),39939 (1525),5459 (112),2536 (90),707 (27),4358 (122),7712 (296),9544 (364),661 (16),31106 (1052),5731 (136),2445 (105),4377 (135),1436 (35),2557 (88),2023 (65),,150383,2337,5321,227
25 Apr,30169 (1189),40547 (1566),5525 (113),2627 (97),719 (27),4400 (139),7837 (305),9691 (377),667 (16),31465 (1084),5767 (138),2468 (107),4406 (141),1480 (35),2612 (95),2058 (71),,152438,2055,5500,179
26 Apr,30761 (1237),40912 (1596),5600 (123),2694 (100),739 (27),4429 (140),7946 (315),9785 (384),673 (16),31669 (1096),5835 (147),2482 (107),4428 (147),1494 (36),2630 (96),2098 (73),,154175,1737,5640,140
27 Apr,31043 (1249),41070 (1621),5638 (125),2721 (100),754 (27),4475 (142),7979 (320),9847 (391),674 (16),31879 (1131),5879 (152),2503 (121),4458 (147),1515 (36),2638 (98),2120 (74),,155193,1018,5750,110
28 Apr,31196 (1269),41406 (1681),5669 (127),2747 (106),759 (27),4505 (142),8026 (333),9926 (394),675 (17),32184 (1171),5928 (157),2509 (123),4490 (148),1520 (39),2653 (101),2144 (78),,156337,1144,5913,163
